name,id
강남성모이비인후과의원,13086676
강남성모내과의원,1970025679
리디안의원,1531051371
가슴편한내과의원,21559902
꿈꾸는성형외과의원,1377394471
강남아름다운유외과의원,1669916386
티엘씨청담의원,1924289056
수서신광한의원,1021258641
팝성형외과의원,13545566
조은날의원,1295213116
온앤위드의원,1083164839
더스완성형외과의원,19520400
온에어성형외과의원,1921533231
서정민이비인후과의원,19519796
강남드림내과의원,1229417809
청담지온유의원,1724150052
CNP차앤박피부과의원 압구정점,11877510
대치더블유내과의원,19786950
훌륭성형외과의원,1044031506
서울통정형외과의원 개포점,1569746289
엔슬림의원,12418427
서울클리어치과교정과치과의원,1127834983
피그마리온의원,12837442
터한의원 대치점,1971170688
드림헤어라인의원,12772456
더행복한흉부외과의원,1357184388
문찬수내과의원,19521382
예진성형외과의원,31298575
두발로병원,1556271222
르디아망의원,1695106339
조앤박의원,19534064
세이지의원,33913550
갑산한의원,13018665
드림수면의원,37165688
SC301의원,36782214
서울토토치과의원,11608804
다름성형외과의원,1529908145
세현성형외과의원,37057009
일원사랑치과의원,55002409
온리유한의원,986295808
강남구보건소 세곡보건지소,1293074153
서울성모정신건강의학과의원,1911266063
연세코코이비인후과의원,37675644
라메스피부과의원,20150084
비아트의원,34464244
티에스성형외과의원,36905792
함박눈성형외과의원,1272692230
연세춘이비인후과의원,1611249354
연세모에버의원,1158352906
강남연세안과의원,1397792071
